Level	Amazon	Sorceress	Necromancer	Paladin	Barbarian	Druid	Assassin	ExpRatio
MaxLvl	99	99	99	99	99	99	99	10
0	0	0	0	0	0	0	0	2048
1	500	500	500	500	500	500	500	2048
2	1500	1500	1500	1500	1500	1500	1500	2048
3	3750	3750	3750	3750	3750	3750	3750	2048
4	7875	7875	7875	7875	7875	7875	7875	2048
5	14175	14175	14175	14175	14175	14175	14175	2048
6	22680	22680	22680	22680	22680	22680	22680	2048
7	32886	32886	32886	32886	32886	32886	32886	2048
8	44396	44396	44396	44396	44396	44396	44396	2048
9	57715	57715	57715	57715	57715	57715	57715	2048
10	72144	72144	72144	72144	72144	72144	72144	2048
11	90180	90180	90180	90180	90180	90180	90180	2048
12	112725	112725	112725	112725	112725	112725	112725	2048
13	140906	140906	140906	140906	140906	140906	140906	2048
14	176132	176132	176132	176132	176132	176132	176132	2048
15	220165	220165	220165	220165	220165	220165	220165	2048
16	275207	275207	275207	275207	275207	275207	275207	2048
17	344008	344008	344008	344008	344008	344008	344008	2048
18	430010	430010	430010	430010	430010	430010	430010	2048
19	537513	537513	537513	537513	537513	537513	537513	2048
20	671891	671891	671891	671891	671891	671891	671891	2048
21	839864	839864	839864	839864	839864	839864	839864	2048
22	1049830	1049830	1049830	1049830	1049830	1049830	1049830	2048
23	1312287	1312287	1312287	1312287	1312287	1312287	1312287	2048
24	1640359	1640359	1640359	1640359	1640359	1640359	1640359	2048
25	2050449	2050449	2050449	2050449	2050449	2050449	2050449	2048
26	2563061	2563061	2563061	2563061	2563061	2563061	2563061	2048
27	3203826	3203826	3203826	3203826	3203826	3203826	3203826	2048
28	3902260	3902260	3902260	3902260	3902260	3902260	3902260	2048
29	4663553	4663553	4663553	4663553	4663553	4663553	4663553	2048
30	5493363	5493363	5493363	5493363	5493363	5493363	5493363	2048
31	6397855	6397855	6397855	6397855	6397855	6397855	6397855	2048
32	7383752	7383752	7383752	7383752	7383752	7383752	7383752	2048
33	8458379	8458379	8458379	8458379	8458379	8458379	8458379	2048
34	9629723	9629723	9629723	9629723	9629723	9629723	9629723	2048
35	10906488	10906488	10906488	10906488	10906488	10906488	10906488	2048
36	12298162	12298162	12298162	12298162	12298162	12298162	12298162	2048
37	13815086	13815086	13815086	13815086	13815086	13815086	13815086	2048
38	15468534	15468534	15468534	15468534	15468534	15468534	15468534	2048
39	17270791	17270791	17270791	17270791	17270791	17270791	17270791	2048
40	19235252	19235252	19235252	19235252	19235252	19235252	19235252	2048
41	21376515	21376515	21376515	21376515	21376515	21376515	21376515	2048
42	23710491	23710491	23710491	23710491	23710491	23710491	23710491	2048
43	26254525	26254525	26254525	26254525	26254525	26254525	26254525	2048
44	29027522	29027522	29027522	29027522	29027522	29027522	29027522	2048
45	32050088	32050088	32050088	32050088	32050088	32050088	32050088	2048
46	35344686	35344686	35344686	35344686	35344686	35344686	35344686	2048
47	38935798	38935798	38935798	38935798	38935798	38935798	38935798	2048
48	42850109	42850109	42850109	42850109	42850109	42850109	42850109	2048
49	47116709	47116709	47116709	47116709	47116709	47116709	47116709	2048
50	51767302	51767302	51767302	51767302	51767302	51767302	51767302	2048
51	56836449	56836449	56836449	56836449	56836449	56836449	56836449	2048
52	62361819	62361819	62361819	62361819	62361819	62361819	62361819	2048
53	68384473	68384473	68384473	68384473	68384473	68384473	68384473	2048
54	74949165	74949165	74949165	74949165	74949165	74949165	74949165	2048
55	82104680	82104680	82104680	82104680	82104680	82104680	82104680	2048
56	89904191	89904191	89904191	89904191	89904191	89904191	89904191	2048
57	98405658	98405658	98405658	98405658	98405658	98405658	98405658	2048
58	107672256	107672256	107672256	107672256	107672256	107672256	107672256	2048
59	117772849	117772849	117772849	117772849	117772849	117772849	117772849	2048
60	128782495	128782495	128782495	128782495	128782495	128782495	128782495	2048
61	140783010	140783010	140783010	140783010	140783010	140783010	140783010	2048
62	153863570	153863570	153863570	153863570	153863570	153863570	153863570	2048
63	168121381	168121381	168121381	168121381	168121381	168121381	168121381	2048
64	183662396	183662396	183662396	183662396	183662396	183662396	183662396	2048
65	200602101	200602101	200602101	200602101	200602101	200602101	200602101	2048
66	219066380	219066380	219066380	219066380	219066380	219066380	219066380	2048
67	239192444	239192444	239192444	239192444	239192444	239192444	239192444	2048
68	261129853	261129853	261129853	261129853	261129853	261129853	261129853	2048
69	285041630	285041630	285041630	285041630	285041630	285041630	285041630	2048
70	311105466	311105466	311105466	311105466	311105466	311105466	311105466	2048
71	339515048	339515048	339515048	339515048	339515048	339515048	339515048	2048
72	370481492	370481492	370481492	370481492	370481492	370481492	370481492	2048
73	404234916	404234916	404234916	404234916	404234916	404234916	404234916	2048
74	441026148	441026148	441026148	441026148	441026148	441026148	441026148	2048
75	481128591	481128591	481128591	481128591	481128591	481128591	481128591	2048
76	524840254	524840254	524840254	524840254	524840254	524840254	524840254	2048
77	572485967	572485967	572485967	572485967	572485967	572485967	572485967	2048
78	624419793	624419793	624419793	624419793	624419793	624419793	624419793	2048
79	681027665	681027665	681027665	681027665	681027665	681027665	681027665	2048
80	742730244	742730244	742730244	742730244	742730244	742730244	742730244	2048
81	809986056	809986056	809986056	809986056	809986056	809986056	809986056	2048
82	883294891	883294891	883294891	883294891	883294891	883294891	883294891	2048
83	963201521	963201521	963201521	963201521	963201521	963201521	963201521	2048
84	1050299747	1050299747	1050299747	1050299747	1050299747	1050299747	1050299747	2048
85	1145236814	1145236814	1145236814	1145236814	1145236814	1145236814	1145236814	2048
86	1248718217	1248718217	1248718217	1248718217	1248718217	1248718217	1248718217	2048
87	1361512946	1361512946	1361512946	1361512946	1361512946	1361512946	1361512946	1536
88	1484459201	1484459201	1484459201	1484459201	1484459201	1484459201	1484459201	1536
89	1618470619	1618470619	1618470619	1618470619	1618470619	1618470619	1618470619	1536
