Treasure Class	group	level	Picks	Unique	Set	Rare	Magic	NoDrop	Item1	Prob1	Item2	Prob2	Item3	Prob3	Item4	Prob4	Item5	Prob5	Item6	Prob6	Item7	Prob7	Item8	Prob8	Item9	Prob9	Item10	Prob10	SumItems	TotalProb	DropChance	Term
set1			6		1024				lrg	1	mgl	1	tbt	1	msk	1	ghm	1	spl	1	swb	1	7qr	1	zhb	1	urn	1				0
set2			6		1024				amu	1	amu	1	lea	1	amu	1	gth	1	2ax	1	qui	1	ucl	1	xhg	1	xar	1				0
set3			6		1024				gsc	1	tgl	1	amu	1	rin	1	hbt	1	lgl	1	vbl	1	xmb	1	xhb	1	7ws	1				0
set4			6		1024				mbt	1	crn	1	kit	1	mpi	1	hbl	1	lbl	1	tgl	1	dr8	1	7m7	1	paf	1				0
set5			6		1024				buc	1	tbl	1	wsp	1	ful	1	tow	1	wsd	1	amu	1	uul	1	zmb	1	uh9	1				0
set6			6		1024				mbl	1	bsd	1	crn	1	lbt	1	cap	1	sbr	1	wst	1	9mt	1	amu	1	xul	1				0
set7			6		1024				lsd	1	gts	1	aar	1	amu	1	gwn	1	rng	1	skp	1	xtb	1	oba	1	ne9	1				0
set8			6		1024				sml	1	brs	1	bst	1	bhm	1	tbl	1	rin	1	ltp	1	ba5	1	uth	1	xmg	1				0
set9			6		1024				fhl	1	lbb	1	chn	1	hgl	1	hlm	1	amu	1	xh9	1	uar	1	xsk	1	utc	1				0
set10			6		1024				ci3	1	xlb	1	xhm	1	9vo	1	xap	1	vbt	1												0
set11			6		1024				uld	1	uui	1	ztb	1	7ls	1	stu	1	vgl	1												0
set12			6		1024				xtg	1	umc	1	xvg	1	upl	1	vbt	1	bwn	1												0
set13			6		1024				zvb	1	7ma	1	xml	1	xhl	1	6cs	1														0
set14			6		1024				amc	1	uts	1	xrn	1	7gd	1	ult	1														0
set15			6		1024				amu	1	xrs	1	xcl	1	7wd	1	ci0	1														0
set16			6		1024				ulg	1	uhm	1	mbl	1	cap	1																0
setitems1			6		1024				set1	1	set2	1	set3	1	set4	1	set5	1	set6	1	set7	1	set8	1	set9	1	set10	1				0
setitems2			6		1024				set11	1	set13	1	set14	1	set15	1	set16	1														0
setitems			6		1024				setitems1	1	setitems2	1																				0
Gold			6						gld	1																						0
Jewelry A			6	1020	1000	1020			rin	8	amu	4	jew	2	cm3	2	cm2	2	cm1	2												0
Jewelry B			6	1020	1000	1020			rin	8	amu	4	jew	2	cm3	2	cm2	2	cm1	2												0
Jewelry C			6	1020	1000	1020			rin	8	amu	4	jew	2	cm3	2	cm2	2	cm1	2												0
Chipped Gem			6						gcv	3	gcy	3	gcb	3	gcg	3	gcr	3	gcw	3	skc	2										0
Flawed Gem			6						gfv	3	gfy	3	gfb	3	gfg	3	gfr	3	gfw	3	skf	2										0
Normal Gem			6						gsv	3	gsy	3	gsb	3	gsg	3	gsr	3	gsw	3	sku	2										0
Flawless Gem			6						gzv	3	gly	3	glb	3	glg	3	glr	3	glw	3	skl	2										0
Perfect Gem			6						gpv	3	gpy	3	gpb	3	gpg	3	gpr	3	gpw	3	skz	2										0
Ammo			6						setitems	12	setitems	12																				0
Misc 0			6						setitems	12	setitems	12	setitems	12	setitems	12	setitems	12														0
Misc 1			6						setitems	12	setitems	12	setitems	12	setitems	12	setitems	12														0
Misc 2			6						setitems	12	setitems	12	setitems	12	setitems	12	setitems	12														0
Hpotion 1			6		1024				setitems	8	setitems	3	setitems	3	setitems	2	setitems	1														0
Hpotion 2			6		1024				setitems	1	setitems	4	setitems	3	setitems	2	setitems	2	setitems	1												0
Hpotion 3			6		1024				setitems	1	setitems	4	setitems	3	setitems	2	setitems	2	setitems	1												0
Hpotion 4			6		1024				setitems	1	setitems	4	setitems	3	setitems	2	setitems	2	setitems	1												0
Hpotion 5			6		1024				setitems	1	setitems	4	setitems	4	setitems	4	setitems	1														0
Hpotion 6			6		1024				setitems	4	setitems	6	setitems	2	setitems	4	setitems	1														0
Potion 1			6		1024				setitems	12	setitems	4	setitems	5	setitems	4	setitems	1	setitems	4												0
Potion 2			6		1024				setitems	4	setitems	8	setitems	5	setitems	2	setitems	5	setitems	1	setitems	2	setitems	3	setitems	1						0
Potion 3			6		1024				setitems	6	setitems	6	setitems	4	setitems	3	setitems	3	setitems	1	setitems	2	setitems	2	setitems	1						0
Potion 4			6		1024				setitems	6	setitems	6	setitems	4	setitems	3	setitems	3	setitems	1	setitems	2	setitems	2	setitems	1						0
Potion 5			6		1024				setitems	4	setitems	6	setitems	6	setitems	5	setitems	1	setitems	2	setitems	2	setitems	1								0
Potion 6			6		1024				setitems	6	setitems	8	setitems	1	setitems	5	setitems	1	setitems	2	setitems	2	setitems	1								0
Runes 1			6						r01	1	r02	1																				0
Runes 2			6						r03	1	r04	1	Runes 1	1																		0
Runes 3			6						r05	1	r06	1	Runes 2	1																		0
Runes 4			6						r07	1	r08	1	Runes 3	1																		0
Runes 5			6						r09	1	r10	1	Runes 4	1																		0
Runes 6			6						r11	1	r12	1	Runes 5	1																		0
Runes 7			6						r13	1	r14	1	Runes 6	1																		0
Runes 8			6						r15	1	r16	1	Runes 7	1																		0
Runes 9			6						r17	1	r18	1	Runes 8	1																		0
Runes 10			6						r19	1	r20	1	Runes 9	1																		0
Runes 11			6						r21	1	r22	1	Runes 10	1																		0
Runes 12			6						r23	1	r24	1	Runes 11	1																		0
Runes 13			6						r25	1	r26	1	Runes 12	1																		0
Runes 14			6						r27	1	r28	1	Runes 13	1																		0
Runes 15			6						r29	1	r30	1	Runes 14	1																		0
Runes 16			6						r31	1	r32	1	Runes 15	1																		0
Runes 17			6						r33	1	Runes 16	1																				0
Act 1 Junk			6		1024				Potion 1	8	Misc 0	4	Ammo	4	setitems	5																0
Act 2 Junk			6		1024				setitems	5	setitems	5	setitems	5	setitems	5																0
Act 3 Junk			6		1024				setitems	5	setitems	5	setitems	5	setitems	5																0
Act 4 Junk			6		1024				setitems	5	setitems	5	setitems	5	setitems	5																0
Act 5 Junk			6		1024				setitems	5	setitems	5	setitems	5	setitems	5																0
Act 1 (N) Junk			6		1024				setitems	5	setitems	5	setitems	5	setitems	5																0
Act 2 (N) Junk			6		1024				setitems	5	setitems	5	setitems	5	setitems	5																0
Act 3 (N) Junk			6		1024				setitems	5	setitems	5	setitems	5	setitems	5																0
Act 4 (N) Junk			6		1024				setitems	5	setitems	5	setitems	5	setitems	5																0
Act 5 (N) Junk			6		1024				setitems	5	setitems	5	setitems	5	setitems	5																0
Act 1 (H) Junk			6		1024				setitems	5	setitems	5	setitems	5	setitems	5																0
Act 2 (H) Junk			6		1024				setitems	5	setitems	5	setitems	5	setitems	5																0
Act 3 (H) Junk			6		1024				setitems	5	setitems	5	setitems	5	setitems	5																0
Act 4 (H) Junk			6		1024				setitems	5	setitems	5	setitems	5	setitems	5																0
Act 5 (H) Junk			6		1024				setitems	5	setitems	5	setitems	5	setitems	5																0
Act 1 Equip A	1	0	6	1020	1024	1020			weap3	7	armo3	7																				0
Act 1 Equip B	1	5	6	1020	1024	1020			weap3	3	armo3	3	weap6	7	armo6	7																0
Act 1 Equip C	1	9	6	1020	1024	1020			weap3	2	armo3	1	weap6	6	armo6	3	weap9	14	armo9	7	weap12	2	armo12	1								0
Act 2 Equip A	1	12	6	1020	1024	1020			weap6	2	armo6	1	weap9	6	armo9	3	weap12	14	armo12	7	weap15	2	armo15	1	Act 1 Equip C	30			36	66	0.4545	0
Act 2 Equip B	1	15	6	1020	1024	1020			weap9	2	armo9	1	weap12	6	armo12	3	weap15	14	armo15	7	weap18	2	armo18	1	Act 2 Equip A	60			36	96	0.625	0
Act 2 Equip C	1	18	6	1020	1024	1020			weap12	2	armo12	1	weap15	6	armo15	3	weap18	14	armo18	7	weap21	2	armo21	1	Act 2 Equip B	80			36	116	0.6897	0
Act 3 Equip A	1	20	6	1020	1024	1020			weap15	2	armo15	1	weap18	6	armo18	3	weap21	14	armo21	7	weap24	2	armo24	1	Act 2 Equip C	100			36	136	0.7353	0
Act 3 Equip B	1	22	6	1020	1024	1020			weap18	2	armo18	1	weap21	6	armo21	3	weap24	14	armo24	7	weap27	2	armo27	1	Act 3 Equip A	200			36	236	0.8475	0
Act 3 Equip C	1	24	6	1020	1024	1020			weap21	2	armo21	1	weap24	6	armo24	3	weap27	14	armo27	7	weap30	2	armo30	1	Act 3 Equip B	340			36	376	0.9043	0
Act 4 Equip A	1	26	6	1020	1024	1020			weap24	2	armo24	1	weap27	6	armo27	3	weap30	14	armo30	4	weap33	2	armo33	1	Act 3 Equip C	430			33	463	0.9287	0
Act 4 Equip B	1	29	6	1020	1024	1020			weap27	2	armo27	1	weap30	6	armo30	3	weap33	14	armo33	3	weap36	2	armo36	1	Act 4 Equip A	500			32	532	0.9398	0
Act 5 Equip A	1	32	6	1020	1024	1020			weap27	2	armo27	1	weap30	6	armo30	3	weap33	14	armo33	3	weap36	7	armo36	5	Act 4 Equip B	629			41	670	0.9388	0
Act 5 Equip B	1	34	6	1020	1024	1020			weap30	2	armo30	1	weap33	6	armo33	2	weap36	14	armo36	7	weap39	2	armo39	1	Act 5 Equip A	731			35	766	0.9543	0
Act 5 Equip C	1	36	6	1020	1024	1020			weap30	2	armo30	1	weap33	6	armo33	2	weap36	14	armo36	7	weap39	2	armo39	1	Act 5 Equip B	833			35	868	0.9597	0
Act 1 (N) Equip A	1	38	6	1020	1024	1020			weap33	2	armo33	1	weap36	6	armo36	3	weap39	14	armo39	7	weap42	2	armo42	1	Act 5 Equip C	935			36	971	0.9629	0
Act 1 (N) Equip B	1	40	6	1020	1024	1020			weap33	2	armo33	1	weap36	6	armo36	3	weap39	14	armo39	7	weap42	6	armo42	3	Act 1 (N) Equip A	1105			42	1147	0.9634	0
Act 1 (N) Equip C	1	42	6	1020	1024	1020			weap36	2	armo36	1	weap39	6	armo39	3	weap42	14	armo42	7	weap45	2	armo45	1	Act 1 (N) Equip A	1020			36	1056	0.9659	0
Act 2 (N) Equip A	1	44	6	1020	1024	1020			weap36	2	armo36	1	weap39	6	armo39	3	weap42	14	armo42	7	weap45	6	armo45	3	Act 1 (N) Equip B	1233			42	1275	0.9671	0
Act 2 (N) Equip B	1	46	6	1020	1024	1020			weap39	2	armo39	1	weap42	6	armo42	3	weap45	14	armo45	7	weap48	2	armo48	1	Act 2 (N) Equip A	1105			36	1141	0.9684	0
Act 2 (N) Equip C	1	48	6	1020	1024	1020			weap39	2	armo39	1	weap42	6	armo42	3	weap45	14	armo45	7	weap48	6	armo48	3	Act 2 (N) Equip A	1318			42	1360	0.9691	0
Act 3 (N) Equip A	1	50	6	1020	1024	1020			weap42	2	armo42	1	weap45	6	armo45	3	weap48	14	armo48	7	weap51	2	armo51	1	Act 2 (N) Equip B	1190			36	1226	0.9706	0
Act 3 (N) Equip B	1	52	6	1020	1024	1020			weap42	2	armo42	1	weap45	6	armo45	3	weap48	14	armo48	7	weap51	6	armo51	3	Act 3 (N) Equip A	1445			42	1487	0.9718	0
Act 3 (N) Equip C	1	54	6	1020	1024	1020			weap45	2	armo45	1	weap48	6	armo48	3	weap51	14	armo51	7	weap54	2	armo54	1	Act 3 (N) Equip A	1275			36	1311	0.9725	0
Act 4 (N) Equip A	1	56	6	1020	1024	1020			weap45	2	armo45	1	weap48	6	armo48	3	weap51	14	armo51	7	weap54	6	armo54	3	Act 3 (N) Equip B	1530			42	1572	0.9733	0
Act 4 (N) Equip B	1	58	6	1020	1024	1020			weap48	2	armo48	1	weap51	6	armo51	3	weap54	14	armo54	7	weap57	2	armo57	1	Act 4 (N) Equip A	1360			36	1396	0.9742	0
Act 4 (N) Equip C	1	60	6	1020	1024	1020			weap48	2	armo48	1	weap51	6	armo51	3	weap54	14	armo54	7	weap57	6	armo57	3	Act 4 (N) Equip A	1658			42	1700	0.9753	0
Act 5 (N) Equip A	1	62	6	1020	1024	1020			weap51	2	armo51	1	weap54	6	armo54	3	weap57	14	armo57	7	weap60	2	armo60	1	Act 4 (N) Equip B	1445			36	1481	0.9757	0
Act 5 (N) Equip B	1	64	6	1020	1024	1020			weap51	2	armo51	1	weap54	6	armo54	3	weap57	14	armo57	7	weap60	6	armo60	3	Act 5 (N) Equip A	1743			42	1785	0.9765	0
Act 5 (N) Equip C	1	66	6	1020	1024	1020			weap54	2	armo54	1	weap57	6	armo57	3	weap60	14	armo60	7	weap63	2	armo63	1	Act 5 (N) Equip B	1530			36	1566	0.977	0
Act 1 (H) Equip A	1	68	6	1020	1024	1020			weap54	2	armo54	1	weap57	6	armo57	3	weap60	14	armo60	7	weap63	6	armo63	3	Act 5 (N) Equip C	1785			42	1827	0.977	0
Act 1 (H) Equip B	1	70	6	1020	1024	1020			weap57	2	armo57	1	weap60	6	armo60	3	weap63	14	armo63	7	weap66	2	armo66	1	Act 1 (H) Equip A	1530			36	1566	0.977	0
Act 1 (H) Equip C	1	71	6	1020	1024	1020			weap57	2	armo57	1	weap60	6	armo60	3	weap63	14	armo63	7	weap66	6	armo66	3	Act 1 (H) Equip A	1785			42	1827	0.977	0
Act 2 (H) Equip A	1	73	6	1020	1024	1020			weap60	2	armo60	1	weap63	6	armo63	3	weap66	14	armo66	7	weap69	2	armo69	1	Act 1 (H) Equip B	1530			36	1566	0.977	0
Act 2 (H) Equip B	1	75	6	1020	1024	1020			weap60	2	armo60	1	weap63	6	armo63	3	weap66	14	armo66	7	weap69	6	armo69	3	Act 2 (H) Equip A	1785			42	1827	0.977	0
Act 2 (H) Equip C	1	76	6	1020	1024	1020			weap63	2	armo63	1	weap66	6	armo66	3	weap69	14	armo69	7	weap72	2	armo72	1	Act 2 (H) Equip A	1530			36	1566	0.977	0
Act 3 (H) Equip A	1	77	6	1020	1024	1020			weap63	2	armo63	1	weap66	6	armo66	3	weap69	14	armo69	7	weap72	6	armo72	3	Act 2 (H) Equip B	1785			42	1827	0.977	0
Act 3 (H) Equip B	1	78	6	1020	1024	1020			weap66	2	armo66	1	weap69	6	armo69	3	weap72	14	armo72	7	weap75	2	armo75	1	Act 3 (H) Equip A	1530			36	1566	0.977	0
Act 3 (H) Equip C	1	79	6	1020	1024	1020			weap66	2	armo66	1	weap69	6	armo69	3	weap72	14	armo72	7	weap75	6	armo75	3	Act 3 (H) Equip A	1785			42	1827	0.977	0
Act 4 (H) Equip A	1	80	6	1020	1024	1020			weap69	2	armo69	1	weap72	6	armo72	3	weap75	14	armo75	7	weap78	2	armo78	1	Act 3 (H) Equip B	1530			36	1566	0.977	0
Act 4 (H) Equip B	1	81	6	1020	1024	1020			weap69	2	armo69	1	weap72	6	armo72	3	weap75	14	armo75	7	weap78	6	armo78	3	Act 4 (H) Equip A	1785			42	1827	0.977	0
Act 4 (H) Equip C	1	82	6	1020	1024	1020			weap72	2	armo72	1	weap75	6	armo75	3	weap78	14	armo78	7	weap81	2	armo81	1	Act 4 (H) Equip A	1530			36	1566	0.977	0
Act 5 (H) Equip A	1	83	6	1020	1024	1020			weap75	2	armo75	1	weap78	6	armo78	3	weap81	14	armo81	7	weap84	2	armo84	1	Act 4 (H) Equip B	1530			36	1566	0.977	0
Act 5 (H) Equip B	1	84	6	1020	1024	1020			weap78	2	armo78	1	weap81	6	armo81	3	weap84	14	armo84	7	weap87	2	armo87	1	Act 5 (H) Equip A	1530			36	1566	0.977	0
Act 5 (H) Equip C	1	85	6	1020	1024	1020			weap81	2	armo81	1	weap84	6	armo84	3	weap87	14	armo87	7	weap87	1	armo87	1	Act 5 (H) Equip B	1530			35	1565	0.9776	0
Act 1 Melee A	2	0	6	1020	1024	1020			mele3	7	armo3	7																				0
Act 1 Melee B	2	5	6	1020	1024	1020			mele3	3	armo3	3	mele6	7	armo6	7																0
Act 1 Melee C	2	9	6	1020	1024	1020			mele3	2	armo3	1	mele6	6	armo6	3	mele9	14	armo9	7	mele12	2	armo12	1								0
Act 2 Melee A	2	12	6	1020	1024	1020			mele6	2	armo6	1	mele9	6	armo9	3	mele12	14	armo12	7	mele15	2	armo15	1	Act 1 Melee C	30			36	66	0.4545	0
Act 2 Melee B	2	15	6	1020	1024	1020			mele9	2	armo9	1	mele12	6	armo12	3	mele15	14	armo15	7	mele18	2	armo18	1	Act 2 Melee A	60			36	96	0.625	0
Act 2 Melee C	2	18	6	1020	1024	1020			mele12	2	armo12	1	mele15	6	armo15	3	mele18	14	armo18	7	mele21	2	armo21	1	Act 2 Melee B	90			36	126	0.7143	0
Act 3 Melee A	2	20	6	1020	1024	1020			mele15	2	armo15	1	mele18	6	armo18	3	mele21	14	armo21	7	mele24	2	armo24	1	Act 2 Melee C	120			36	156	0.7692	0
Act 3 Melee B	2	22	6	1020	1024	1020			mele18	2	armo18	1	mele21	6	armo21	3	mele24	14	armo24	7	mele27	2	armo27	1	Act 3 Melee A	150			36	186	0.8065	0
Act 3 Melee C	2	24	6	1020	1024	1020			mele21	2	armo21	1	mele24	6	armo24	3	mele27	14	armo27	7	mele30	2	armo30	1	Act 3 Melee B	180			36	216	0.8333	0
Act 4 Melee A	2	26	6	1020	1024	1020			mele24	2	armo24	1	mele27	6	armo27	3	mele30	14	armo30	4	mele33	2	armo33	1	Act 3 Melee C	210			33	243	0.8642	0
Act 4 Melee B	2	29	6	1020	1024	1020			mele27	2	armo27	1	mele30	6	armo30	3	mele33	14	armo33	3	mele36	2	armo36	1	Act 4 Melee A	260			32	292	0.8904	0
Act 5 Melee A	2	32	6	1020	1024	1020			mele27	2	armo27	1	mele30	6	armo30	3	mele33	14	armo33	3	mele36	7	armo36	5	Act 4 Melee B	400			41	441	0.907	0
Act 5 Melee B	2	34	6	1020	1024	1020			mele30	2	armo30	1	mele33	6	armo33	2	mele36	14	armo36	7	mele39	2	armo39	1	Act 5 Melee A	489			35	524	0.9332	0
Act 5 Melee C	2	36	6	1020	1024	1020			mele30	2	armo30	1	mele33	6	armo33	2	mele36	14	armo36	7	mele39	2	armo39	1	Act 5 Melee B	629			35	664	0.9473	0
Act 1 (N) Melee A	2	38	6	1020	1024	1020			weap33	2	armo33	1	weap36	6	armo36	3	weap39	14	armo39	7	weap42	2	armo42	1	Act 5 Melee C	769			36	805	0.9553	0
Act 1 (N) Melee B	2	40	6	1020	1024	1020			weap36	2	armo36	1	weap39	6	armo39	3	weap42	14	armo42	7	weap45	2	armo45	1	Act 1 (N) Melee A	935			36	971	0.9629	0
Act 2 (N) Melee A	2	42	6	1020	1024	1020			weap36	2	armo36	1	weap39	6	armo39	3	weap42	14	armo42	7	weap45	6	armo45	3	Act 1 (N) Melee B	1148			42	1190	0.9647	0
Act 2 (N) Melee B	2	44	6	1020	1024	1020			weap39	2	armo39	1	weap42	6	armo42	3	weap45	14	armo45	7	weap48	2	armo48	1	Act 2 (N) Melee A	1020			36	1056	0.9659	0
Act 3 (N) Melee A	2	46	6	1020	1024	1020			weap42	2	armo42	1	weap45	6	armo45	3	weap48	14	armo48	7	weap51	2	armo51	1	Act 2 (N) Melee B	1063			36	1099	0.9672	0
Act 3 (N) Melee B	2	48	6	1020	1024	1020			weap45	2	armo45	1	weap48	6	armo48	3	weap51	14	armo51	7	weap54	2	armo54	1	Act 3 (N) Melee A	1105			36	1141	0.9684	0
Act 4 (N) Melee A	2	51	6	1020	1024	1020			weap45	2	armo45	1	weap48	6	armo48	3	weap51	14	armo51	7	weap54	6	armo54	3	Act 3 (N) Melee B	1339			42	1381	0.9696	0
